label,text
Kidney Stones,renal colic with nausea vomiting and painful urination
Covid-19,"i completely lost my sense of taste and smell yesterday, accompanied by a dry cough."
Bronchitis,"i have a deep, chesty cough that brings up thick yellowish-green mucus."
Ear Infection,pulling at the ear and ear ache with fever
Heart Attack,"i have severe chest pressure, difficulty breathing, and my jaw hurts."
Ear Infection,severe ear pain that worsens at night with fever
Hyperthyroidism,"fast heartbeat, feeling very hot all the time, completely restless and jittery."
Hypertension,chest discomfort and headache dizziness shortness of breath
Covid-19,"high temperature, loss of smell, and a very persistent dry cough for the last week."
Chickenpox,symptoms include itchy rash with blisters fever and fatigue
Appendicitis,"i have nausea, fever, and acute pain in the right lower quadrant of my belly."
Conjunctivitis,sensitivity to light and eye irritation redness
Depression,withdrawal from activities and loss of motivation persistent tiredness
Diabetes,symptoms include it does not require fasting and blood can be drawn for the test any time of the day
Urinary Tract Infection,i am experiencing lower abdominal pain with burning urination and urgency
Ulcerative Colitis,persistent bloody diarrhea and overall fatigue. and abdominal cramping
Asthma,symptoms include no information on frequency is available
Irritable Bowel Syndrome,ibs acting up: cramping and urgent need to go to the bathroom.
Tuberculosis,"a persistent cough lasting more than 3 weeks, coughing up blood, and night sweats."
Dengue Fever,fever with rash muscle pain and bleeding gums
Depression,i feel sad all the time and have no interest in anything
Ear Infection,"my ear is draining fluid, throbbing pain, and i feel slightly dizzy."
Ear Infection,severe ear pain that worsens at night with high temperature
Dengue Fever,"for the past few days, i have the fractions may be different if another group of patients are examined"
Malaria,"i have travelled recently, now having severe chills, high fever, and body aches."
Covid-19,sore throat fever cough taste loss and headache
Malaria,"for the past few days, i have fevers spiking every two days with massive sweating and extreme shivering."
Chickenpox,fever and tiredness. and lots of small itchy pimples that became blisters
Parkinson'S Disease,i have doctors may prescribe a variety of medications to treat the non-motor symptoms of parkinson's disease
Irritable Bowel Syndrome,cramping pain after eating with bloating and changed stools
Irritable Bowel Syndrome,"for the past few days, i have bloating and abdominal pain that is relieved after having a bowel movement."
Heart Attack,i am experiencing the important thing to remember is that if you have any of the symptoms and they grow more intense
Lyme Disease,"i have a bullseye rash on my leg, high temperature, and my joints are very stiff."
Depression,"for the past few days, i have remembering or making decisions thoughts of death or suicide"
Tonsillitis,i am experiencing painful throat red swollen tonsils and bad breath
