label,text
Influenza,fever headache body pain chills sore throat tiredness for two days
Influenza,high fever muscle aches dry cough fatigue and headache
Influenza,body pain fever chills weakness and cough
Influenza,i have been having high fever with body aches and chills since yesterday
Influenza,fever with sore throat runny nose and muscle pain
Influenza,sudden onset of fever muscle soreness and extreme tiredness
Influenza,shivering high temperature headache and joint pain for three days
Influenza,my whole body hurts and i have a fever and sore throat
Influenza,fever fatigue dry cough and body aches after exposure to flu
Influenza,i feel feverish with aching muscles and extreme exhaustion
Common Cold,runny nose sneezing mild cough sore throat and congestion
Common Cold,nasal congestion sneezing scratchy throat and watery eyes
Common Cold,stuffy nose mild fever and cough with sore throat
Common Cold,sneezing runny nose and a scratchy throat for a few days
Common Cold,mild cough nasal congestion and sneezing without fever
Common Cold,i keep sneezing and my nose is running with slight sore throat
Common Cold,blocked nose watery eyes and constant sneezing
Common Cold,mild cold symptoms with runny nose and slight cough
Common Cold,nasal drip sore throat and mild headache
Common Cold,i have congestion sneezing and my throat feels scratchy
Covid-19,fever dry cough loss of smell fatigue and body aches
Covid-19,sore throat fever cough taste loss and headache
Covid-19,short fever cough fatigue and exposure to covid
Covid-19,i cannot smell or taste anything and have fever and dry cough
Covid-19,fever with body aches dry cough and loss of taste and smell
Covid-19,persistent dry cough fever shortness of breath and fatigue
Covid-19,headache fever loss of taste body pain and dry cough
Covid-19,i tested positive and have fever cough and extreme tiredness
Covid-19,difficulty breathing fever dry cough and chest tightness
Covid-19,loss of smell taste fever and body aches after covid contact
Migraine,severe headache nausea light sensitivity and throbbing pain
Migraine,one sided headache vomiting and sensitivity to light
Migraine,head pain with nausea aura and dizziness
Migraine,throbbing headache on one side with nausea and light sensitivity
Migraine,intense head pain behind one eye with visual disturbances
Migraine,recurring severe headache with nausea and sound sensitivity
Migraine,pounding headache that gets worse with light and movement
Migraine,i have a terrible headache on one side with blurred vision and nausea
Migraine,severe pulsating headache with vomiting and sensitivity to noise
Migraine,headache with aura flashing lights and feeling sick
Gastroenteritis,diarrhea vomiting stomach cramps nausea and fever
Gastroenteritis,loose stools vomiting dehydration and abdominal cramps
Gastroenteritis,nausea diarrhea stomach pain and body weakness
Gastroenteritis,watery diarrhea vomiting and stomach cramps for two days
Gastroenteritis,food poisoning symptoms with nausea vomiting and diarrhea
Gastroenteritis,severe stomach cramps with frequent watery stools and vomiting
Gastroenteritis,i have been vomiting and having diarrhea since last night
Gastroenteritis,stomach bug with nausea loose motions and mild fever
Gastroenteritis,abdominal pain diarrhea and feeling dehydrated
Gastroenteritis,nausea cramping and frequent trips to the bathroom
Urinary Tract Infection,burning urination lower abdominal discomfort and frequent urination
Urinary Tract Infection,painful urination urgency cloudy urine and pelvic discomfort
Urinary Tract Infection,frequent urination burning sensation and lower belly pain
Urinary Tract Infection,it burns when i urinate and i feel the need to go frequently
Urinary Tract Infection,cloudy urine with strong smell and pelvic pressure
Urinary Tract Infection,painful and frequent urination with lower back pain
Urinary Tract Infection,burning pain during urination and urgency to pee
Urinary Tract Infection,i have pain and burning when peeing and my urine smells bad
Urinary Tract Infection,frequent urge to urinate with discomfort and blood in urine
Urinary Tract Infection,lower abdominal pain with burning urination and urgency
Allergic Rhinitis,sneezing itchy eyes runny nose and nasal irritation
